time,regions,populationin1
1996,LAM,3.2994963236872226e8
1996,SAS,1.252631603432735e9
1996,SEA,5.447757516965764e8
1996,CHI,1.28128315065206e9
1996,MAF,1.373886348827007e8
1996,SSA,5.741287359315926e8
1996,SIS,4.5109215212843105e7
1997,USA,2.727560033223908e8
1997,CAN,3.034914254062529e7
1997,WEU,3.8736520606160325e8
1997,JPK,1.7718157087392393e8
1997,ANZ,2.2171717800592497e7
1997,EEU,1.203239404802843e8
1997,FSU,2.900956507376079e8
1997,MDE,2.1268253046942127e8
1997,CAM,1.1439252044385329e8
1997,LAM,3.351727169655612e8
1997,SAS,1.277532490627333e9
1997,SEA,5.532845585636953e8
1997,CHI,1.2917623602664704e9
1997,MAF,1.397204743050334e8
1997,SSA,5.893016076448928e8
1997,SIS,4.561395310155525e7
1998,USA,2.7656333741988635e8
1998,CAN,3.071618011392414e7
1998,WEU,3.8859752890218e8
1998,JPK,1.7793500773453644e8
1998,ANZ,2.240346816258929e7
1998,EEU,1.198171488957259e8
1998,FSU,2.897298508002434e8
1998,MDE,2.1679967486283854e8
1998,CAM,1.161498242179467e8
1998,LAM,3.403403783836518e8
1998,SAS,1.3024154064606628e9
1998,SEA,5.616989814555565e8
1998,CHI,1.30186574429737e9
1998,MAF,1.420098552253237e8
1998,SSA,6.047645144068767e8
1998,SIS,4.611104247537484e7
1999,USA,2.802854322111057e8
1999,CAN,3.1084741474966776e7
1999,WEU,3.9002007641671824e8
1999,JPK,1.786432470370865e8
1999,ANZ,2.263912707701945e7
1999,EEU,1.1930898459930892e8
1999,FSU,2.893050510902195e8
1999,MDE,2.2095402288764998e8
1999,CAM,1.1788586407852705e8
1999,LAM,3.4541483638672405e8
1999,SAS,1.3273011986843245e9
1999,SEA,5.699749722412206e8
1999,CHI,1.3114970740841122e9
1999,MAF,1.442641902980163e8
1999,SSA,6.205867286922084e8
1999,SIS,4.66004150365425e7
2000,USA,2.837998577961222e8
2000,CAN,3.1459631818672504e7
2000,WEU,3.9179522592431664e8
2000,JPK,1.793061518275692e8
2000,ANZ,2.2883589635394085e7
2000,EEU,1.1880594407250254e8
2000,FSU,2.888818440956114e8
2000,MDE,2.2518654697091624e8
2000,CAM,1.1960221489689438e8
2000,LAM,3.503678423723364e8
2000,SAS,1.352194102979391e9
2000,SEA,5.780838664264973e8
2000,CHI,1.32060265020678e9
2000,MAF,1.4649311558573198e8
2000,SSA,6.368272040144396e8
2000,SIS,4.708197415494147e7
2001,USA,2.870500230518032e8
2001,CAN,3.184128115266779e7
2001,WEU,3.939777371373604e8
2001,JPK,1.7992446427929166e8
2001,ANZ,2.313612577631677e7
2001,EEU,1.1831454520712097e8
2001,FSU,2.884933902431053e8
2001,MDE,2.2949742059041157e8
2001,CAM,1.2129462363948482e8
2001,LAM,3.5519167538324463e8
2001,SAS,1.37708082635236e9
2001,SEA,5.860210452647418e8
2001,CHI,1.329219517584262e9
2001,MAF,1.487051435524263e8
2001,SSA,6.535116777244829e8
2001,SIS,4.755652603247541e7
2002,USA,2.9007557785268086e8
2002,CAN,3.223041371014275e7
2002,WEU,3.9650276022435147e8
2002,JPK,1.8049782167868385e8
2002,ANZ,2.339847000408279e7
2002,EEU,1.1783871181286459e8
2002,FSU,2.881669426285672e8
2002,MDE,2.338983403817605e8
2002,CAM,1.229677091603312e8
2002,LAM,3.598904532053021e8
2002,SAS,1.401907492892094e9
2002,SEA,5.938093991317658e8
2002,CHI,1.3374545261121893e9
2002,MAF,1.509119430266119e8
2002,SSA,6.706605648106225e8
2002,SIS,4.802413462454991e7
2003,USA,2.9296760750361377e8
2003,CAN,3.2632336098464094e7
2003,WEU,3.9926517181038785e8
2003,JPK,1.810242602641507e8
2003,ANZ,2.368053466651853e7
2003,EEU,1.1737776349183378e8
2003,FSU,2.8795309271489435e8
2003,MDE,2.3845282243507683e8
2003,CAM,1.2464279256237617e8
2003,LAM,3.644633683157008e8
2003,SAS,1.4265921144522302e9
2003,SEA,6.014847001234899e8
2003,CHI,1.345401691492161e9
2003,MAF,1.5313000243458256e8
2003,SSA,6.883213037244202e8
2003,SIS,4.848306955479034e7
2004,USA,2.958653773121112e8
2004,CAN,3.3053402276731916e7
2004,WEU,4.0210454386028606e8
2004,JPK,1.815013222357947e8
2004,ANZ,2.399483688169599e7
2004,EEU,1.1692853413826767e8
2004,FSU,2.879061954842195e8
2004,MDE,2.4323883734502083e8
2004,CAM,1.263481551777436e8
2004,LAM,3.689134071127259e8
2004,SAS,1.4510319973092914e9
2004,SEA,6.090974148261926e8
2004,CHI,1.353175010134745e9
2004,MAF,1.5537873101107362e8
2004,SSA,7.065462701049964e8
2004,SIS,4.8931016803019315e7
2005,USA,2.988670588127193e8
2005,CAN,3.349755556079758e7
2005,WEU,4.048977157507709e8
2005,JPK,1.819284073861312e8
2005,ANZ,2.4349152887316316e7
2005,EEU,1.1648822862591532e8
2005,FSU,2.8806737136844873e8
2005,MDE,2.4830368434375918e8
2005,CAM,1.2810276654806654e8
2005,LAM,3.7324578342678297e8
2005,SAS,1.4751481429423065e9
2005,SEA,6.166885509833673e8
2005,CHI,1.3608648213874364e9
2005,MAF,1.5767722290522915e8
2005,SSA,7.253733733191221e8
2005,SIS,4.936698294914534e7
2006,USA,3.02000088968667e8
2006,CAN,3.396749802102151e7
2006,WEU,4.0761772791086054e8
2006,JPK,1.823005914573735e8
2006,ANZ,2.474802504250916e7
2006,EEU,1.1605887974887913e8
2006,FSU,2.884563706644634e8
2006,MDE,2.5367505898507234e8
2006,CAM,1.2991428014670569e8
2006,LAM,3.7745585310993516e8
2006,SAS,1.4989168723871045e9
2006,SEA,6.242589309577138e8
2006,CHI,1.3685037206602938e9
2006,MAF,1.6002659034589756e8
2006,SSA,7.448280530330439e8
2006,SIS,4.978929330502479e7
2007,USA,3.052214589317173e8
2007,CAN,3.446047724151895e7
2007,WEU,4.102835054972554e8
2007,JPK,1.8262115593219277e8
2007,ANZ,2.518585655852158e7
2007,EEU,1.1564114210472846e8
2007,FSU,2.890731809946799e8
2007,MDE,2.5931575842541674e8
2007,CAM,1.3177333854955523e8
2007,LAM,3.8154892250736815e8
2007,SAS,1.5223360620943398e9
2007,SEA,6.318106318852262e8
2007,CHI,1.3761024949342277e9
2007,MAF,1.6243800118489084e8
2007,SSA,7.649221807523315e8
2007,SIS,5.020007844198015e7
2008,USA,3.0847457712776434e8
2008,CAN,3.496809817412391e7
2008,WEU,4.1287160534941345e8
2008,JPK,1.829074099581888e8
2008,ANZ,2.564757059337598e7
2008,EEU,1.1522901863681993e8
2008,FSU,2.899110938328683e8
2008,MDE,2.651254665735936e8
2008,CAM,1.3366061048388329e8
2008,LAM,3.8555306920570946e8
2008,SAS,1.5453777717596438e9
2008,SEA,6.393860804849063e8
2008,CHI,1.3836983860848327e9
2008,MAF,1.6494982992725143e8
2008,SSA,7.856716299996564e8
2008,SIS,5.06067494027189e7
2009,USA,3.116737803552238e8
2009,CAN,3.547840496272206e7
2009,WEU,4.153653459955568e8
2009,JPK,1.8318275608569238e8
2009,ANZ,2.611199249728298e7
2009,EEU,1.1481436694733623e8
2009,FSU,2.9095151006285983e8
2009,MDE,2.709639274404475e8
2009,CAM,1.355478994082761e8
2009,LAM,3.895055728077184e8
2009,SAS,1.5680182613680687e9
2009,SEA,6.470366433322034e8
2009,CHI,1.391323971125223e9
2009,MAF,1.676095653174867e8
2009,SSA,8.070885540637735e8
2009,SIS,5.10191184237581e7
2010,USA,3.147561303657499e8
2010,CAN,3.598233150198774e7
2010,WEU,4.177531510056189e8
2010,JPK,1.834620944887123e8
2010,ANZ,2.6563197206121795e7
2010,EEU,1.1439147337211883e8
2010,FSU,2.9217251729943365e8
2010,MDE,2.767244740754174e8
2010,CAM,1.3741349459481606e8
2010,LAM,3.9343339833037305e8
2010,SAS,1.5902481244548175e9
2010,SEA,6.547925616245723e8
2010,CHI,1.3989948039398642e9
2010,MAF,1.7044785997365457e8
2010,SSA,8.291767401259677e8
2010,SIS,5.144391881689242e7
2011,USA,3.1770735814352214e8
2011,CAN,3.647677895729468e7
2011,WEU,4.2000605664064014e8
2011,JPK,1.8375370159474966e8
2011,ANZ,2.699575985229207e7
2011,EEU,1.1395751254919927e8
2011,FSU,2.935693245240932e8
2011,MDE,2.823741179395397e8
2011,CAM,1.3925276821624324e8
2011,LAM,3.973476471290933e8
2011,SAS,1.61204220016971e9
2011,SEA,6.626750172017615e8
2011,CHI,1.4067152360758488e9
2011,MAF,1.7347708594065797e8
2011,SSA,8.519345610825038e8
2011,SIS,5.188356099899825e7
2012,USA,3.205462186024331e8
2012,CAN,3.696290961559116e7
2012,WEU,4.221169341623716e8
2012,JPK,1.8404742314476797e8
2012,ANZ,2.741208692721437e7
2012,EEU,1.1351433168267016e8
2012,FSU,2.951271914885554e8
2012,MDE,2.8792461364893335e8
2012,CAM,1.410682541611385e8
2012,LAM,4.0124260897753525e8
2012,SAS,1.6334207122696261e9
2012,SEA,6.706586673029e8
2012,CHI,1.4144616144420078e9
2012,MAF,1.766797693374953e8
2012,SSA,8.753598629395508e8
2012,SIS,5.2335110111428626e7
2013,USA,3.2328219885703254e8
2013,CAN,3.744104533656634e7
2013,WEU,4.24124576890239e8
2013,JPK,1.8431711717938262e8
2013,ANZ,2.7813689627794866e7
2013,EEU,1.1306685262202674e8
2013,FSU,2.967897376916215e8
2013,MDE,2.933689994773098e8
2013,CAM,1.4285391876746255e8
2013,LAM,4.051067967589291e8
2013,SAS,1.6544798029266117e9
2013,SEA,6.786672583200395e8
2013,CHI,1.4221796176598804e9
2013,MAF,1.8001511865059724e8
2013,SSA,8.994323591370815e8
2013,SIS,5.279266142772761e7
2014,USA,3.2593492360046446e8
2014,CAN,3.7912928510946035e7
2014,WEU,4.2608739110446274e8
2014,JPK,1.845259303561556e8
2014,ANZ,2.8204777067924473e7
2014,EEU,1.1262247145042716e8
2014,FSU,2.984844879980778e8
2014,MDE,2.987131201951696e8
2014,CAM,1.4460448777020228e8
2014,LAM,4.089207893106913e8
2014,SAS,1.6753518700164669e9
2014,SEA,6.865948588829397e8
2014,CHI,1.429793803307977e9
2014,MAF,1.8343069660418123e8
2014,SSA,9.241250336198256e8
2014,SIS,5.3247804408940844e7
2015,USA,3.275258491165185e8
2015,CAN,3.829501110448432e7
2015,WEU,4.2679642021670485e8
2015,JPK,1.843914301304133e8
2015,ANZ,2.845452593932677e7
