year,orig,dest,fe_year
2010.0,SLV,HND,-29.98927015947694
2010.0,SLV,HND,-29.98927015947694
2010.0,SLV,HND,-29.98927015947694
2010.0,SLV,HND,-29.98927015947694
2010.0,SLV,HND,-29.98927015947694
2010.0,USA,MEX,-29.98927015947694
2010.0,USA,MEX,-29.98927015947694
2010.0,USA,MEX,-29.98927015947694
2010.0,USA,MEX,-29.98927015947694
2010.0,USA,MEX,-29.98927015947694
2010.0,CRI,PAN,-29.98927015947694
2010.0,CRI,PAN,-29.98927015947694
2010.0,CRI,PAN,-29.98927015947694
2010.0,CRI,PAN,-29.98927015947694
2010.0,CRI,PAN,-29.98927015947694
2010.0,COL,PAN,-29.98927015947694
2010.0,COL,PAN,-29.98927015947694
2010.0,COL,PAN,-29.98927015947694
2010.0,COL,PAN,-29.98927015947694
2010.0,COL,PAN,-29.98927015947694
2010.0,URY,ARG,-29.98927015947694
2010.0,URY,ARG,-29.98927015947694
2010.0,URY,ARG,-29.98927015947694
2010.0,URY,ARG,-29.98927015947694
2010.0,URY,ARG,-29.98927015947694
2010.0,PAN,COL,-29.98927015947694
2010.0,PAN,COL,-29.98927015947694
2010.0,PAN,COL,-29.98927015947694
2010.0,PAN,COL,-29.98927015947694
2010.0,PAN,COL,-29.98927015947694
2010.0,ECU,COL,-29.98927015947694
2010.0,ECU,COL,-29.98927015947694
2010.0,ECU,COL,-29.98927015947694
2010.0,ECU,COL,-29.98927015947694
2010.0,ECU,COL,-29.98927015947694
2010.0,PER,COL,-29.98927015947694
2010.0,PER,COL,-29.98927015947694
2010.0,PER,COL,-29.98927015947694
2010.0,PER,COL,-29.98927015947694
2010.0,PER,COL,-29.98927015947694
2010.0,COL,ECU,-29.98927015947694
2010.0,COL,ECU,-29.98927015947694
2010.0,COL,ECU,-29.98927015947694
2010.0,COL,ECU,-29.98927015947694
2010.0,COL,ECU,-29.98927015947694
2010.0,PER,ECU,-29.98927015947694
2010.0,PER,ECU,-29.98927015947694
2010.0,PER,ECU,-29.98927015947694
2010.0,PER,ECU,-29.98927015947694
2010.0,PER,ECU,-29.98927015947694
2010.0,COL,PER,-29.98927015947694
2010.0,COL,PER,-29.98927015947694
2010.0,COL,PER,-29.98927015947694
2010.0,COL,PER,-29.98927015947694
2010.0,COL,PER,-29.98927015947694
2010.0,ECU,PER,-29.98927015947694
2010.0,ECU,PER,-29.98927015947694
2010.0,ECU,PER,-29.98927015947694
2010.0,ECU,PER,-29.98927015947694
2010.0,ECU,PER,-29.98927015947694
2010.0,ARG,URY,-29.98927015947694
2010.0,ARG,URY,-29.98927015947694
2010.0,ARG,URY,-29.98927015947694
2010.0,ARG,URY,-29.98927015947694
2010.0,ARG,URY,-29.98927015947694
2010.0,POL,BLR,-29.98927015947694
2010.0,POL,BLR,-29.98927015947694
2010.0,POL,BLR,-29.98927015947694
2010.0,POL,BLR,-29.98927015947694
2010.0,POL,BLR,-29.98927015947694
2010.0,RUS,BLR,-29.98927015947694
2010.0,RUS,BLR,-29.98927015947694
2010.0,RUS,BLR,-29.98927015947694
2010.0,RUS,BLR,-29.98927015947694
2010.0,RUS,BLR,-29.98927015947694
2010.0,UKR,BLR,-29.98927015947694
2010.0,UKR,BLR,-29.98927015947694
2010.0,UKR,BLR,-29.98927015947694
2010.0,UKR,BLR,-29.98927015947694
2010.0,UKR,BLR,-29.98927015947694
2010.0,LTU,BLR,-29.98927015947694
2010.0,LTU,BLR,-29.98927015947694
2010.0,LTU,BLR,-29.98927015947694
2010.0,LTU,BLR,-29.98927015947694
2010.0,LTU,BLR,-29.98927015947694
2010.0,TUR,BGR,-29.98927015947694
2010.0,TUR,BGR,-29.98927015947694
