regions,remshare,time,destinations
CAM,0.0,1950,EEU
LAM,0.0,1950,EEU
SAS,0.0,1950,EEU
SEA,0.0,1950,EEU
CHI,0.0,1950,EEU
MAF,0.0,1950,EEU
SSA,0.0,1950,EEU
SIS,0.0,1950,EEU
USA,0.0,1950,FSU
CAN,0.0,1950,FSU
WEU,0.0,1950,FSU
JPK,0.0,1950,FSU
ANZ,0.0,1950,FSU
EEU,0.0,1950,FSU
FSU,0.0,1950,FSU
MDE,0.0,1950,FSU
CAM,0.0,1950,FSU
LAM,0.0,1950,FSU
SAS,0.0,1950,FSU
SEA,0.0,1950,FSU
CHI,0.0,1950,FSU
MAF,0.0,1950,FSU
SSA,0.0,1950,FSU
SIS,0.0,1950,FSU
USA,0.0,1950,MDE
CAN,0.0,1950,MDE
WEU,0.0,1950,MDE
JPK,0.0,1950,MDE
ANZ,0.0,1950,MDE
EEU,0.0,1950,MDE
FSU,0.0,1950,MDE
MDE,0.0,1950,MDE
CAM,0.0,1950,MDE
LAM,0.0,1950,MDE
SAS,0.0,1950,MDE
SEA,0.0,1950,MDE
CHI,0.0,1950,MDE
MAF,0.0,1950,MDE
SSA,0.0,1950,MDE
SIS,0.0,1950,MDE
USA,0.0,1950,CAM
CAN,0.0,1950,CAM
WEU,0.0,1950,CAM
JPK,0.0,1950,CAM
ANZ,0.0,1950,CAM
EEU,0.0,1950,CAM
FSU,0.0,1950,CAM
MDE,0.0,1950,CAM
CAM,0.0,1950,CAM
LAM,0.0,1950,CAM
SAS,0.0,1950,CAM
SEA,0.0,1950,CAM
CHI,0.0,1950,CAM
MAF,0.0,1950,CAM
SSA,0.0,1950,CAM
SIS,0.0,1950,CAM
USA,0.0,1950,LAM
CAN,0.0,1950,LAM
WEU,0.0,1950,LAM
JPK,0.0,1950,LAM
ANZ,0.0,1950,LAM
EEU,0.0,1950,LAM
FSU,0.0,1950,LAM
MDE,0.0,1950,LAM
CAM,0.0,1950,LAM
LAM,0.0,1950,LAM
SAS,0.0,1950,LAM
SEA,0.0,1950,LAM
CHI,0.0,1950,LAM
MAF,0.0,1950,LAM
SSA,0.0,1950,LAM
SIS,0.0,1950,LAM
USA,0.0,1950,SAS
CAN,0.0,1950,SAS
WEU,0.0,1950,SAS
JPK,0.0,1950,SAS
ANZ,0.0,1950,SAS
EEU,0.0,1950,SAS
FSU,0.0,1950,SAS
MDE,0.0,1950,SAS
CAM,0.0,1950,SAS
LAM,0.0,1950,SAS
SAS,0.0,1950,SAS
SEA,0.0,1950,SAS
CHI,0.0,1950,SAS
MAF,0.0,1950,SAS
SSA,0.0,1950,SAS
SIS,0.0,1950,SAS
USA,0.0,1950,SEA
CAN,0.0,1950,SEA
WEU,0.0,1950,SEA
JPK,0.0,1950,SEA
ANZ,0.0,1950,SEA
EEU,0.0,1950,SEA
FSU,0.0,1950,SEA
MDE,0.0,1950,SEA
CAM,0.0,1950,SEA
LAM,0.0,1950,SEA
SAS,0.0,1950,SEA
SEA,0.0,1950,SEA
CHI,0.0,1950,SEA
MAF,0.0,1950,SEA
SSA,0.0,1950,SEA
SIS,0.0,1950,SEA
USA,0.0,1950,CHI
CAN,0.0,1950,CHI
WEU,0.0,1950,CHI
JPK,0.0,1950,CHI
ANZ,0.0,1950,CHI
EEU,0.0,1950,CHI
FSU,0.0,1950,CHI
MDE,0.0,1950,CHI
CAM,0.0,1950,CHI
LAM,0.0,1950,CHI
SAS,0.0,1950,CHI
SEA,0.0,1950,CHI
CHI,0.0,1950,CHI
MAF,0.0,1950,CHI
SSA,0.0,1950,CHI
SIS,0.0,1950,CHI
USA,0.0,1950,MAF
CAN,0.0,1950,MAF
WEU,0.0,1950,MAF
JPK,0.0,1950,MAF
