regions,quintiles,pop,time,income,entermig,leavemig,deadmig,deadmigcost,receive,send,remittances
SSA,2,460.92462508033867,2072,1544.7954822736256,35158.07114783603,109396.04883848342,1562.3398255175048,7.800016932906353,17.993385560911886,0.23549793762179572,17.75788762329009
SSA,3,460.92462508033867,2072,2310.573178816996,25060.675780298097,148206.26540531637,2186.9714466671503,10.918504436213867,23.69806650982727,0.2707838569476599,23.42728265287961
SSA,4,460.92462508033867,2072,3469.980926044408,35773.32847396832,207767.58467459277,0.0,0.0,35.86462960511673,0.4555849614494578,35.40904464366727
SSA,5,460.92462508033867,2072,7173.383510993581,81705.76438970018,261698.66994229003,0.0,0.0,51.781255128404176,3.168248860264129,48.61300626814005
SIS,1,12.64339079976641,2072,20.009291992519337,6419.721434310466,10491.844656089072,5.589627381422978,0.027906341188796466,3.563125414864914,0.04099421762764955,3.522131197237264
SIS,2,12.64339079976641,2072,38.344760069154496,5536.761526180473,10579.404637286378,4.914209385298994,0.02453430155919047,3.608959831367923,0.06704815000697593,3.541911681360947
SIS,3,12.64339079976641,2072,58.73457955912286,5294.762590801796,16867.942665072107,7.4851511093418095,0.03736978629402207,5.713678412685002,0.09147921153262722,5.622199201152375
SIS,4,12.64339079976641,2072,90.44301008183953,7895.763798871433,22469.699218172707,0.0,0.0,7.8062878471169155,0.2000035194120238,7.606284327704891
SIS,5,12.64339079976641,2072,196.50577386617758,15810.547691323485,30963.76821551207,0.0,0.0,10.975427945329411,1.6549709293557897,9.320457015973622
USA,1,79.7111260553294,2073,894.3717197496455,841094.0432215915,234282.84340062746,0.0,0.0,8.322773706497848,25.120217796714545,-16.797444090216697
USA,2,79.7111260553294,2073,1931.342334313798,768962.8998285267,257463.46667532416,0.0,0.0,10.079196307691156,69.01959609088173,-58.94039978319058
USA,3,79.7111260553294,2073,3250.7195684306384,291954.6724372042,397178.6520209073,0.0,0.0,16.218689021823707,43.988003618975895,-27.76931459715219
USA,4,79.7111260553294,2073,5478.952917112542,431313.61875258,494908.31308761454,0.0,0.0,21.43655662083255,90.96067637263951,-69.52411975180696
USA,5,79.7111260553294,2073,14304.599624062883,575402.7276275951,692282.9611343623,0.0,0.0,33.29499141893554,324.41728302223976,-291.12229160330423
CAN,1,7.74936385600257,2073,47.31457336258687,370948.44060221827,68895.0833065712,0.0,0.0,2.450298691415871,5.208151321008025,-2.7578526295921537
CAN,2,7.74936385600257,2073,110.70011786386047,250521.89829132927,84693.36718321932,0.0,0.0,3.245014559574251,8.50150811910825,-5.2564935595339985
CAN,3,7.74936385600257,2073,202.49620766165745,89131.89313760384,187682.48784238825,0.0,0.0,7.14855643475998,6.605642320204154,0.5429141145558258
CAN,4,7.74936385600257,2073,365.80212293005974,169321.10166932966,267710.03696809855,0.0,0.0,10.20008042840921,10.792246163116904,-0.5921657347076934
CAN,5,7.74936385600257,2073,1095.4357513368927,341052.784541338,457063.539534517,0.0,0.0,16.919630012678386,63.50091638550877,-46.58128637283039
WEU,1,83.13744712844694,2073,1651.444200564491,728300.6592589781,167384.75601818773,0.0,0.0,22.864435735871382,61.46668529778568,-38.6022495619143
WEU,2,83.13744712844694,2073,2859.1062123944657,393556.16939917195,119156.52264826561,0.0,0.0,15.642989362649791,54.66172915988062,-39.01873979723083
WEU,3,83.13744712844694,2073,4101.651080915615,188329.19998572703,206771.02180628825,0.0,0.0,28.354871691927706,41.45569287280851,-13.100821180880807
WEU,4,83.13744712844694,2073,5881.060539777027,335513.3955543575,265031.9123379497,0.0,0.0,37.01886629078795,101.73120441603164,-64.71233812524369
WEU,5,83.13744712844694,2073,11120.371849258405,362408.27154854615,322294.4165968069,0.0,0.0,45.671316330052925,253.79836018084586,-208.12704385079294
JPK,1,28.256085546093527,2073,1251.753760067035,203859.27083681064,29108.697527283664,0.0,0.0,2.898726210323343,39.45668121071231,-36.557955000388965
JPK,2,28.256085546093527,2073,2120.0634108397194,125529.87018429575,17264.08115118536,0.0,0.0,1.5498407393557474,39.834407084134874,-38.28456634477913
JPK,3,28.256085546093527,2073,2995.2796581253224,55925.25527068607,40846.56196105903,0.0,0.0,3.9862200289536913,21.01259276804727,-17.026372739093578
JPK,4,28.256085546093527,2073,4230.159586615498,82736.36966231058,51661.085113778514,0.0,0.0,5.363648224165719,45.35438548300745,-39.990737258841726
JPK,5,28.256085546093527,2073,7767.447239761144,82960.27156837429,61712.5978314514,0.0,0.0,6.610658139215724,85.41068454108544,-78.80002640186972
ANZ,1,7.033442475070354,2073,156.76554148082909,72639.00819994624,10112.747893761643,0.0,0.0,0.836796705683262,5.246771330283119,-4.409974624599857
ANZ,2,7.033442475070354,2073,282.68044009618865,47219.61912738892,8383.974372559558,0.0,0.0,0.7566494512282712,7.0214047012271426,-6.2647552499988715
ANZ,3,7.033442475070354,2073,417.3374235057671,25683.40836926474,16334.583533578196,0.0,0.0,1.3643611900656307,4.531768406800181,-3.16740721673455
ANZ,4,7.033442475070354,2073,615.7414766223735,39326.25658555597,19711.951591613106,0.0,0.0,1.6687043404226998,8.333477485256685,-6.664773144833985
ANZ,5,7.033442475070354,2073,1230.4321507945335,45125.768328219645,22604.490279409816,0.0,0.0,1.9806541320409854,22.96591546706536,-20.985261335024376
EEU,1,15.300456104743441,2073,102.45027758142861,120834.65382977761,85250.16087074227,0.4280398279016656,0.002136998526863646,23.097994333051297,2.446152074710781,20.651842258340515
EEU,2,15.300456104743441,2073,182.38711735109456,62567.599499963435,65826.66234345897,0.33716287970512676,0.0016832933065483013,17.17462266975621,2.6388545286513536,14.535768141104857
EEU,3,15.300456104743441,2073,267.4250926520462,10096.848472207514,116313.69202752553,0.5921344607605924,0.002956244694690621,30.680836522840625,0.7413658487472395,29.939470674093386
EEU,4,15.300456104743441,2073,391.3751510134272,32167.73041091465,126868.8186791839,0.0,0.0,32.95723227717283,3.0887150997523447,29.868517177420483
EEU,5,15.300456104743441,2073,769.3627712043148,61752.903778359214,172719.52842152282,0.0,0.0,44.283664725927366,15.636693930158517,28.64697079576885
FSU,1,57.32357995262381,2073,219.28861681275023,161746.38599967145,33529.68955630221,0.0,0.0,6.765824966357996,1.3289519898272766,5.436872976530719
FSU,2,57.32357995262381,2073,390.05712074997126,132208.24376545058,33154.7516232563,0.0,0.0,7.045685752973176,3.072606878962162,3.973078874011014
FSU,3,57.32357995262381,2073,569.3701748476591,27653.47538540398,52219.019457795504,0.0,0.0,11.35822298677334,1.3349444556879237,10.023278531085417
FSU,4,57.32357995262381,2073,833.139211425489,52515.35129292053,54124.603882126954,0.0,0.0,10.97641501054294,3.9555028154632956,7.020912195079644
FSU,5,57.32357995262381,2073,1635.8149220180956,96814.73238016262,65207.904696324775,0.0,0.0,13.032036226670467,24.239528951877173,-11.207492725206706
MDE,1,91.12032568669217,2073,447.4045107465352,85060.76073824773,47375.77904275904,190.4781165053971,0.9509663069608286,7.765719549601594,6.173873379733171,1.5918461698684236
MDE,2,91.12032568669217,2073,750.5473755438942,66684.37578376662,48415.67196599832,210.46923994006224,1.0507724430852525,8.200914456687581,7.814803196278148,0.3861112604094332
MDE,3,91.12032568669217,2073,1051.0464483701312,43937.16063164698,71884.50989340368,300.02049405062945,1.497859105677403,13.6335888742046,10.694614128779653,2.9389747454249466
MDE,4,91.12032568669217,2073,1476.3999757554552,74443.65502673353,104995.07563182035,0.0,0.0,18.884990435784825,24.171649368764314,-5.286658932979488
MDE,5,91.12032568669217,2073,2679.4133424824636,100231.77543616547,134334.81812295876,0.0,0.0,26.653683548629957,95.90814541185121,-69.25446186322125
CAM,1,41.618185701851495,2073,273.8855958291841,72178.40738717583,86030.64082049299,152.5392590572245,0.7615557026367368,18.343696466481095,0.8098920213207385,17.533804445160357
CAM,2,41.618185701851495,2073,429.70104871882853,63381.8516991091,87171.8766754845,161.05830351042204,0.8040872248458134,20.335723170051537,1.150057987335156,19.18566518271638
CAM,3,41.618185701851495,2073,575.0634889066858,47067.741251795684,143643.7827867898,271.9120785000897,1.3575272049791949,34.49395311060189,1.1075938061758746,33.386359304426016
CAM,4,41.618185701851495,2073,771.0302736345707,68598.18038128415,170304.8032610338,0.0,0.0,41.711892596309866,2.3980454108432183,39.31384718546665
CAM,5,41.618185701851495,2073,1279.0531124734875,185225.0028425601,222943.95129409112,0.0,0.0,58.60213207373583,12.750615775044933,45.851516298690896
LAM,1,95.15786120865651,2073,395.23744984118343,69030.90731523032,56543.61757093371,12.50861342713702,0.06244953559097209,7.50417686429925,0.8603319395554802,6.64384492474377
LAM,2,95.15786120865651,2073,832.6731149369945,49927.29123114329,60845.22288594287,12.829864586863,0.06405338927545999,8.731932892503993,1.4573626349549265,7.274570257549066
LAM,3,95.15786120865651,2073,1367.4489486362388,32359.840711485293,98334.22960678792,21.407575896446925,0.10687780709261134,13.629241986695108,1.5287180182292894,12.100523968465819
LAM,4,95.15786120865651,2073,2259.178013454614,61439.13834899788,137652.85828466347,0.0,0.0,19.214566856386412,4.952837729163201,14.261729127223212
LAM,5,95.15786120865651,2073,5659.791817817234,89459.86840028856,179021.32368974274,0.0,0.0,24.97576729897784,24.370969234211287,0.6047980647665518
SAS,1,457.59108524356,2073,687.204638347765,40323.76363049431,103246.95604118961,178.31539960348545,0.8902436675992973,32.91809447124364,0.5450839659437874,32.37301050529985
SAS,2,457.59108524356,2073,1265.4429356497533,32638.857610571642,100437.65092047425,166.66025430980002,0.8320550909776155,33.15253624682731,0.8252883333589777,32.327247913468334
SAS,3,457.59108524356,2073,1888.6777209584777,21946.942510489127,129441.01639132769,224.97622338427203,1.1231988862073485,41.01963695580342,1.0132507633401362,40.00638619246328
SAS,4,457.59108524356,2073,2830.281636085633,38143.684787380735,187036.56501843387,0.0,0.0,59.38650303184875,2.4342305857303685,56.95227244611838
SAS,5,457.59108524356,2073,5826.308139959664,81733.7198320219,255822.16842561276,0.0,0.0,87.32147733543873,19.93801897866671,67.38345835677202
SEA,1,163.59787833572912,2073,549.5519844440503,56201.494549999465,64858.214296766826,5.279457010724905,0.0263578085942763,20.57557250155706,1.255820326002012,19.319752175555045
SEA,2,163.59787833572912,2073,900.6732373968608,40191.060638859766,58238.47180689596,4.290085126776382,0.021418347075279467,21.13994436372688,1.5971286497775745,19.542815713949306
SEA,3,163.59787833572912,2073,1240.6486940815157,23867.048346664447,83045.0604096644,6.361021623479477,0.03175754439805611,30.63830407597642,1.7464443102427432,28.891859765733678
SEA,4,163.59787833572912,2073,1713.310514954018,41091.66710212402,108052.81969019967,0.0,0.0,42.35896279343376,3.2304969917511634,39.128465801682594
SEA,5,163.59787833572912,2073,3013.467997343796,84680.8727349917,137766.72006297729,0.0,0.0,55.95895572262277,13.411282244942798,42.54767347767997
