time,regions,populationin1
2003,CAN,3.1928040940886807e7
2003,WEU,3.896266886749763e8
2003,JPK,1.76155219892572e8
2003,ANZ,2.1149302416705642e7
2003,EEU,1.2565520749947487e8
2003,FSU,2.9140680764392567e8
2003,MDE,2.534068800667471e8
2003,CAM,1.3560167376615167e8
2003,LAM,3.673175283874738e8
2003,SAS,1.4381025231991796e9
2003,SEA,5.458268613887534e8
2003,CHI,1.3475744065791192e9
2003,MAF,1.5223820293638813e8
2003,SSA,6.860390169384999e8
2003,SIS,4.7502381762727916e7
2004,USA,2.8643220236667687e8
2004,CAN,3.2163885494470906e7
2004,WEU,3.9025164274533457e8
2004,JPK,1.7720562815451276e8
2004,ANZ,2.1364628204214342e7
2004,EEU,1.2572537916930375e8
2004,FSU,2.9145836833425134e8
2004,MDE,2.588672236481154e8
2004,CAM,1.3769903234634364e8
2004,LAM,3.722416557218325e8
2004,SAS,1.4612594289508274e9
2004,SEA,5.536688394046955e8
2004,CHI,1.359279433315448e9
2004,MAF,1.5537646983718067e8
2004,SSA,7.025293191760464e8
2004,SIS,4.808894959278117e7
2005,USA,2.8806640882659984e8
2005,CAN,3.2379284368971873e7
2005,WEU,3.908463746919774e8
2005,JPK,1.7836508658855057e8
2005,ANZ,2.1581713572875418e7
2005,EEU,1.2580439448498543e8
2005,FSU,2.915423260838638e8
2005,MDE,2.6438827825687268e8
2005,CAM,1.3972141759892392e8
2005,LAM,3.770493971269801e8
2005,SAS,1.484029511603113e9
2005,SEA,5.614740265973357e8
2005,CHI,1.3708551400839357e9
2005,MAF,1.5861995311878225e8
2005,SSA,7.192414091228878e8
2005,SIS,4.8666003828074366e7
2006,USA,2.895573055186238e8
2006,CAN,3.2573467641484812e7
2006,WEU,3.9140684071001697e8
2006,JPK,1.796355908850356e8
2006,ANZ,2.1800785229262345e7
2006,EEU,1.2589101187041344e8
2006,FSU,2.9165874659017193e8
2006,MDE,2.69968924728498e8
2006,CAM,1.4166451686426067e8
2006,LAM,3.817382553800632e8
2006,SAS,1.5063976839855473e9
2006,SEA,5.692376749674144e8
2006,CHI,1.3822964573461092e9
2006,MAF,1.619741084982431e8
2006,SSA,7.361799080043343e8
2006,SIS,4.923350891100006e7
2007,USA,2.9090247552726585e8
2007,CAN,3.274633386600931e7
2007,WEU,3.919367783711647e8
2007,JPK,1.810175381446451e8
2007,ANZ,2.2021620140819903e7
2007,EEU,1.2598524688916731e8
2007,FSU,2.918076997921995e8
2007,MDE,2.756079805963677e8
2007,CAM,1.4352412152134204e8
2007,LAM,3.8629840245428455e8
2007,SAS,1.528319774368867e9
2007,SEA,5.76960679573242e8
2007,CHI,1.393598338068442e9
2007,MAF,1.6544145221573734e8
2007,SSA,7.533351620541235e8
2007,SIS,4.979110996498623e7
2008,USA,2.920997650109824e8
2008,CAN,3.2897529705729313e7
2008,WEU,3.924321667524517e8
2008,JPK,1.8251511366209495e8
2008,ANZ,2.224446534139629e7
2008,EEU,1.2608711644008537e8
2008,FSU,2.919892623727667e8
2008,MDE,2.813041997517114e8
2008,CAM,1.452947463371509e8
2008,LAM,3.9072374635981977e8
2008,SAS,1.5497815312459955e9
2008,SEA,5.846326992549189e8
2008,CHI,1.4047557635131843e9
2008,MAF,1.6902784704340088e8
2008,SSA,7.707116608069594e8
2008,SIS,5.033770936803651e7
2009,USA,2.931443185817106e8
2009,CAN,3.3026745268295e7
2009,WEU,3.928968105493743e8
2009,JPK,1.8413095082105488e8
2009,ANZ,2.2469134161181446e7
2009,EEU,1.2619789964965332e8
2009,FSU,2.922005997017901e8
2009,MDE,2.8705345924465495e8
2009,CAM,1.4697389286997652e8
2009,LAM,3.950083562841481e8
2009,SAS,1.5707388642451336e9
2009,SEA,5.922489070322047e8
2009,CHI,1.415763747543201e9
2009,MAF,1.7273610288304174e8
2009,SSA,7.88298968135117e8
2009,SIS,5.087317740717997e7
2010,USA,2.9403732154221916e8
2010,CAN,3.3133373261565104e7
2010,WEU,3.933266778320482e8
2010,JPK,1.858660619354551e8
2010,ANZ,2.269586316740838e7
2010,EEU,1.2631635755193798e8
2010,FSU,2.9244472085461676e8
2010,MDE,2.9285708356679577e8
2010,CAM,1.48557814873656e8
2010,LAM,3.9915037496263707e8
2010,SAS,1.5911785801553905e9
2010,SEA,5.998103658919672e8
2010,CHI,1.426617338606112e9
2010,MAF,1.7657253001773307e8
