time,regions,income,ypc
2018,WEU,14518.141147795206,36663.83827332596
2018,JPK,9755.216887148072,49145.26109870099
2018,ANZ,839.4130283610899,34612.72737125752
2018,EEU,680.4009029549331,5351.112511704089
2018,FSU,953.8354524832016,3241.3594511543033
2018,MDE,1296.0035178361038,3829.3378650566465
2018,CAM,751.3704326670614,4703.373174142958
2018,LAM,2621.1729833134555,6106.792137016205
2018,SAS,1240.8939289571024,711.0231202998311
2018,SEA,1688.0185427107867,2565.7622365364978
2018,CHI,2606.841749188172,1733.319045959319
2018,MAF,397.1524239138047,1908.8516754750206
2018,SSA,702.9132925856344,740.7337056528016
2018,SIS,96.01722997801932,1737.9149849408602
2019,USA,13567.433229899289,45434.51336044462
2019,CAN,1074.8596068466827,31936.34054014836
2019,WEU,14780.519690389085,37303.38485888406
2019,JPK,9985.885892552915,50007.11667823205
2019,ANZ,859.236655181826,35216.23364038776
2019,EEU,704.6866125488345,5538.7930602072265
2019,FSU,987.7853824430182,3354.8508701037185
2019,MDE,1349.9085091299148,3925.8062950070885
2019,CAM,776.2168945375048,4820.355147083642
2019,LAM,2707.251677414484,6257.301618286916
2019,SAS,1285.0769301965108,728.6931881393812
2019,SEA,1748.0021586041535,2629.335025569805
2019,CHI,2698.9646340972563,1784.76231812124
2019,MAF,414.36858677374295,1955.4699812042097
2019,SSA,733.4734088037914,758.996246096781
2019,SIS,99.19808465103102,1781.325833938166
2020,USA,13809.113591544285,46210.57228381133
2020,CAN,1094.05192181065,32482.393051151746
2020,WEU,15044.071077284641,37946.96089165811
2020,JPK,10214.830937118999,50873.63856147045
2020,ANZ,878.9107054438759,35822.88532768688
2020,EEU,729.6394868142338,5731.77392677153
2020,FSU,1022.6571626584068,3471.512370246999
2020,MDE,1405.296883197466,4024.513692014975
2020,CAM,801.6472823006873,4940.007193555296
2020,LAM,2795.325308283852,6411.202891349324
2020,SAS,1330.43925915696,746.76608046047
2020,SEA,1809.5786356406932,2694.347684033764
2020,CHI,2793.941301463086,1837.925068319578
2020,MAF,432.0952992647504,2003.116932460157
2020,SSA,764.9475351754545,777.6670573742852
2020,SIS,102.45396706874925,1825.7330651575983
