time,regions,loss
2050,SIS,-3.319176878197145e9
2051,USA,2.741730925268229e10
2051,CAN,-3.868185836555456e9
2051,WEU,9.63414059737105e9
2051,JPK,-1.0677179658822217e11
2051,ANZ,-7.699089599868711e9
2051,EEU,-4.2604701957895436e9
2051,FSU,4.263015185756809e10
2051,MDE,-8.815566872192625e10
2051,CAM,-1.7917063468101418e10
2051,LAM,-9.649492767614038e8
2051,SAS,-2.9595599787396877e10
2051,SEA,-1.4883428087304688e10
2051,CHI,-2.649438562858606e11
2051,MAF,2.701386084751947e10
2051,SSA,4.144990889798787e10
2051,SIS,-3.396227120750493e9
2052,USA,2.9677972999239822e10
2052,CAN,-3.8288736586756787e9
2052,WEU,1.2974171725106188e10
2052,JPK,-1.0807042853752858e11
2052,ANZ,-7.785039110410824e9
2052,EEU,-4.0620796575843024e9
2052,FSU,4.4886213993165276e10
2052,MDE,-9.005809721424246e10
2052,CAM,-1.8088326921175907e10
2052,LAM,-3.0877646354600686e8
2052,SAS,-2.989444183310584e10
2052,SEA,-1.4128245436750856e10
2052,CHI,-2.6930115597281723e11
2052,MAF,2.8512278074403645e10
2052,SSA,4.270740879927322e10
2052,SIS,-3.4748533198211994e9
2053,USA,3.2028644496977535e10
2053,CAN,-3.7842512259630585e9
2053,WEU,1.6348566969319912e10
2053,JPK,-1.0934410388987296e11
2053,ANZ,-7.868341418764036e9
2053,EEU,-3.847012752288461e9
2053,FSU,4.723295961983664e10
2053,MDE,-9.197255934389256e10
2053,CAM,-1.8244399038197796e10
2053,LAM,3.950480684712634e8
2053,SAS,-3.0164279505887077e10
2053,SEA,-1.3291663698447824e10
2053,CHI,-2.735802643279604e11
2053,MAF,3.0089198956896873e10
2053,SSA,4.402301994421958e10
2053,SIS,-3.55442151609914e9
2054,USA,3.447168879430242e10
2054,CAN,-3.7341481998673596e9
2054,WEU,1.9877744107179657e10
2054,JPK,-1.1059110883363849e11
2054,ANZ,-7.948818276090884e9
2054,EEU,-3.6145237678001046e9
2054,FSU,4.967374941499397e10
2054,MDE,-9.389701228832083e10
2054,CAM,-1.8383782065737183e10
2054,LAM,1.1489829775631168e9
2054,SAS,-3.0401968110003498e10
2054,SEA,-1.2368546522731659e10
2054,CHI,-2.7776910598476135e11
2054,MAF,3.1748430407282295e10
2054,SSA,4.540016117175908e10
2054,SIS,-3.634860222250995e9
2055,USA,3.70088781765977e10
2055,CAN,-3.6784022832435274e9
2055,WEU,2.3565800062956604e10
2055,JPK,-1.11809664703941e11
2055,ANZ,-8.0263122812358465e9
2055,EEU,-3.3638356582914886e9
2055,FSU,5.221136485591201e10
2055,MDE,-9.58306273947223e10
2055,CAM,-1.850517612174388e10
2055,LAM,1.955502649041014e9
2055,SAS,-3.0604927170700394e10
2055,SEA,-1.1353836778636105e10
2055,CHI,-2.818590869494267e11
2055,MAF,3.3494263901374607e10
2055,SSA,4.684192529982311e10
2055,SIS,-3.7161736672184725e9
2056,USA,3.964027059145661e10
2056,CAN,-3.616964412117046e9
2056,WEU,2.741523603572821e10
2056,JPK,-1.1299947438035632e11
2056,ANZ,-8.100751410382383e9
2056,EEU,-3.0942589978628526e9
2056,FSU,5.484904937273528e10
2056,MDE,-9.777193758740033e10
2056,CAM,-1.860715772574796e10
2056,LAM,2.816960932171523e9
2056,SAS,-3.0770000804951427e10
2056,SEA,-1.0242195706522339e10
2056,CHI,-2.8583757523825757e11
2056,MAF,3.5330970680891754e10
2056,SSA,4.835185418104346e10
2056,SIS,-3.7983176379593205e9
2057,USA,4.2366141391932205e10
2057,CAN,-3.54977373233397e9
2057,WEU,3.1428177274318527e10
2057,JPK,-1.1416000870647554e11
2057,ANZ,-8.172055795072497e9
2057,EEU,-2.805109790165318e9
2057,FSU,5.758957160704549e10
2057,MDE,-9.971941210834073e10
2057,CAM,-1.868828894756478e10
2057,LAM,3.735688259258865e9
2057,SAS,-3.089407485851836e10
2057,SEA,-9.028302986783667e9
2057,CHI,-2.896940721014418e11
2057,MAF,3.726284393187229e10
2057,SSA,4.9933388377435356e10
2057,SIS,-3.881259587576536e9
2058,USA,4.518840998652891e10
2058,CAN,-3.476653041353755e9
2058,WEU,3.560850501330293e10
2058,JPK,-1.1528934293185156e11
2058,ANZ,-8.240037341652108e9
2058,EEU,-2.495637189366681e9
2058,FSU,6.043541278482738e10
2058,MDE,-1.0167129009849268e11
2058,CAM,-1.8746985589752254e10
2058,LAM,4.714386280670345e9
2058,SAS,-3.097381881203719e10
2058,SEA,-7.706454802217061e9
2058,CHI,-2.9341932352057587e11
2058,MAF,3.929440876135199e10
2058,SSA,5.1590171666437965e10
2058,SIS,-3.964958986493289e9
2059,USA,4.811010663703483e10
2059,CAN,-3.397372467855442e9
2059,WEU,3.996065863281897e10
2059,JPK,-1.1638501234364671e11
2059,ANZ,-8.304453214038167e9
2059,EEU,-2.1650017585247416e9
2059,FSU,6.339009744615505e10
2059,MDE,-1.0362487771917409e11
2059,CAM,-1.8781400069218754e10
2059,LAM,5.755979067090969e9
2059,SAS,-3.10053183234661e10
2059,SEA,-6.2704664120010605e9
2059,CHI,-2.9699905792796893e11
2059,MAF,4.143020762900101e10
2059,SSA,5.332622333046311e10
2059,SIS,-4.04932836460119e9
2060,USA,5.1127591961782455e10
2060,CAN,-3.312117648374412e9
2060,WEU,4.448238615150574e10
2060,JPK,-1.1744919422278807e11
2060,ANZ,-8.365442996555281e9
2060,EEU,-1.8127187630354226e9
2060,FSU,6.64553917997321e10
2060,MDE,-1.0557941073568028e11
2060,CAM,-1.879028749710349e10
2060,LAM,6.862242158897502e9
2060,SAS,-3.09857077227162e10
2060,SEA,-4.715141727780086e9
2060,CHI,-3.004249939154552e11
2060,MAF,4.3674932601151276e10
2060,SSA,5.514483057460804e10
2060,SIS,-4.1343957592542253e9
2061,USA,5.4241098904520096e10
2061,CAN,-3.2207987448742824e9
2061,WEU,4.917547675545028e10
2061,JPK,-1.184810518813926e11
2061,ANZ,-8.422885444014746e9
2061,EEU,-1.4381483436311338e9
2061,FSU,6.963402425363855e10
2061,MDE,-1.0753306882701465e11
2061,CAM,-1.877205661628958e10
2061,LAM,8.035702236600697e9
2061,SAS,-3.091141826070983e10
2061,SEA,-3.0346588130106707e9
2061,CHI,-3.0368416550007697e11
2061,MAF,4.603331545440207e10
2061,SSA,5.704984102026903e10
2061,SIS,-4.2201226080042415e9
2062,USA,5.745344430722391e10
2062,CAN,-3.123159760297048e9
2062,WEU,5.404423941913069e10
2062,JPK,-1.1947767329445477e11
2062,ANZ,-8.476511155070294e9
2062,EEU,-1.0405006598297088e9
2062,FSU,7.29286664088716e10
2062,MDE,-1.0948369248473692e11
2062,CAM,-1.8724897351621822e10
2062,LAM,9.27945750309274e9
2062,SAS,-3.0778659177794292e10
2062,SEA,-1.2226607247957401e9
2062,CHI,-3.06764723842313e11
2062,MAF,4.851040621646656e10
2062,SSA,5.904531171590185e10
2062,SIS,-4.306466020782872e9
2063,USA,6.076955531232494e10
2063,CAN,-3.0188068882283587e9
2063,WEU,5.909577237146868e10
2063,JPK,-1.204344743766425e11
2063,ANZ,-8.525922371378777e9
2063,EEU,-6.188235511664062e8
2063,FSU,7.634209159466904e10
2063,MDE,-1.1142867780421649e11
2063,CAM,-1.864668770566092e10
2063,LAM,1.0597322186137997e10
2063,SAS,-3.058310829261338e10
2063,SEA,7.281455210405632e8
2063,CHI,-3.096548256142778e11
2063,MAF,5.111182259086335e10
2063,SSA,6.113584828935446e10
2063,SIS,-4.393359781901811e9
2064,USA,6.419161347318557e10
2064,CAN,-2.9075675705658226e9
2064,WEU,6.4333293098754456e10
2064,JPK,-1.213496302543993e11
2064,ANZ,-8.57092156012105e9
2064,EEU,-1.7222256422404626e8
2064,FSU,7.98780784529379e10
2064,MDE,-1.1336474093154411e11
2064,CAM,-1.853524086340404e10
2064,LAM,1.1992526234828415e10
2064,SAS,-3.03199616694662e10
2064,SEA,2.8251122215823355e9
2064,CHI,-3.123380705972492e11
