region,quint,age,ageall,agemig_reg,index
USA,3,10,11,0.0006432294567130318,1
USA,3,10,12,0.0005360245472608599,1
USA,3,10,13,0.0004288196378086879,1
USA,3,10,14,0.0003216147283565159,1
USA,3,15,15,0.008667267481852484,1
USA,3,15,16,0.007429086413016415,1
USA,3,15,17,0.006190905344180346,1
USA,3,15,18,0.004952724275344276,1
USA,3,15,19,0.0037145432065082075,1
USA,3,20,20,0.07263657317356348,1
USA,3,20,21,0.06225991986305441,1
USA,3,20,22,0.05188326655254534,1
USA,3,20,23,0.04150661324203627,1
USA,3,20,24,0.031129959931527205,1
USA,3,25,25,0.06080408853592893,1
USA,3,25,26,0.05211779017365337,1
USA,3,25,27,0.04343149181137781,1
USA,3,25,28,0.03474519344910225,1
USA,3,25,29,0.026058895086826683,1
USA,3,30,30,0.03720878524130976,1
USA,3,30,31,0.031893244492551216,1
USA,3,30,32,0.02657770374379268,1
USA,3,30,33,0.021262162995034146,1
USA,3,30,34,0.015946622246275608,1
USA,3,35,35,0.021983103433410117,1
USA,3,35,36,0.018842660085780102,1
USA,3,35,37,0.015702216738150084,1
USA,3,35,38,0.012561773390520068,1
USA,3,35,39,0.009421330042890051,1
USA,3,40,40,0.012770833213678853,1
USA,3,40,41,0.010946428468867588,1
USA,3,40,42,0.009122023724056324,1
USA,3,40,43,0.007297618979245059,1
USA,3,40,44,0.005473214234433794,1
USA,3,45,45,0.007050669560280762,1
USA,3,45,46,0.006043431051669224,1
USA,3,45,47,0.005036192543057687,1
USA,3,45,48,0.0040289540344461494,1
USA,3,45,49,0.003021715525834612,1
USA,3,50,50,0.004026048211039094,1
USA,3,50,51,0.003450898466604938,1
USA,3,50,52,0.0028757487221707815,1
USA,3,50,53,0.0023005989777366252,1
USA,3,50,54,0.001725449233302469,1
USA,3,55,55,0.0023709156236236375,1
USA,3,55,56,0.0020322133916774038,1
USA,3,55,57,0.0016935111597311697,1
USA,3,55,58,0.0013548089277849358,1
USA,3,55,59,0.0010161066958387019,1
USA,3,60,60,0.0013441168770575993,1
USA,3,60,61,0.001152100180335085,1
USA,3,60,62,0.0009600834836125709,1
USA,3,60,63,0.0007680667868900568,1
USA,3,60,64,0.0005760500901675425,1
USA,3,65,65,0.0007309052561530045,1
USA,3,65,66,0.0006264902195597182,1
USA,3,65,67,0.0005220751829664318,1
USA,3,65,68,0.00041766014637314547,1
USA,3,65,69,0.0003132451097798591,1
USA,3,70,70,0.0009870299809496422,1
USA,3,70,71,0.000846025697956836,1
USA,3,70,72,0.0007050214149640301,1
USA,3,70,73,0.0005640171319712241,1
USA,3,70,74,0.000423012848978418,1
USA,3,75,75,0.0,1
USA,3,75,76,0.0,1
USA,3,75,77,0.0,1
USA,3,75,78,0.0,1
USA,3,75,79,0.0,1
USA,3,80,80,0.0,1
USA,3,80,81,0.0,1
USA,3,80,82,0.0,1
USA,3,80,83,0.0,1
USA,3,80,84,0.0,1
USA,3,85,85,0.0,1
USA,3,85,86,0.0,1
USA,3,85,87,0.0,1
USA,3,85,88,0.0,1
USA,3,85,89,0.0,1
USA,3,90,90,0.0,1
USA,3,90,91,0.0,1
USA,3,90,92,0.0,1
USA,3,90,93,0.0,1
USA,3,90,94,0.0,1
USA,3,95,95,0.0,1
USA,3,95,96,0.0,1
USA,3,95,97,0.0,1
USA,3,95,98,0.0,1
USA,3,95,99,0.0,1
USA,3,100,100,0.0,1
USA,3,100,101,0.0,1
USA,3,100,102,0.0,1
USA,3,100,103,0.0,1
USA,3,100,104,0.0,1
USA,3,105,105,0.0,1
USA,3,105,106,0.0,1
USA,3,105,107,0.0,1
USA,3,105,108,0.0,1
USA,3,105,109,0.0,1
USA,3,110,110,0.0,1
USA,3,110,111,0.0,1
USA,3,110,112,0.0,1
USA,3,110,113,0.0,1
USA,3,110,114,0.0,1
USA,3,115,115,0.0,1
USA,3,115,116,0.0,1
USA,3,115,117,0.0,1
USA,3,115,118,0.0,1
USA,3,115,119,0.0,1
USA,3,120,120,0.0,1
USA,4,0,0,0.02267801412880676,1
USA,4,0,1,0.02267801412880676,1
USA,4,0,2,0.017444626252928273,1
USA,4,0,3,0.013955701002342618,1
USA,4,0,4,0.010466775751756963,1
USA,4,5,5,0.016875628595233297,1
USA,4,5,6,0.014464824510199968,1
USA,4,5,7,0.01205402042516664,1
USA,4,5,8,0.009643216340133312,1
USA,4,5,9,0.007232412255099984,1
USA,4,10,10,0.0006367784762524881,1
USA,4,10,11,0.0005458101225021328,1
USA,4,10,12,0.0004548417687517773,1
USA,4,10,13,0.0003638734150014218,1
USA,4,10,14,0.0002729050612510664,1
USA,4,15,15,0.03033770062198647,1
USA,4,15,16,0.026003743390274118,1
USA,4,15,17,0.021669786158561764,1
USA,4,15,18,0.01733582892684941,1
USA,4,15,19,0.013001871695137059,1
USA,4,20,20,0.08181331278884388,1
USA,4,20,21,0.07012569667615189,1
