model,scenario,period,region,type,unit,en_5r,scen,gdp_5r,engdp_ratio_5r,country,rel_ratio_2015,convyear,rel_ratio,engdp_ratio,gdp_mig,en_mig
AIM,SSP3-7.0-SPA0,2010,ASIA,Final Energy,EJ/yr,103.58109999999999,SSP3,18707.600999999995,0.005536845691759195,LKA,0.5718421230489203,2200,0.560270288536729,0.0031021301333052694,95.022,0.29477060952693335
AIM,SSP3-7.0-SPA0,2010,ASIA,Final Energy,EJ/yr,103.58109999999999,SSP3,18707.600999999995,0.005536845691759195,TWN,0.6147406289700873,2200,0.6043282135368464,0.003346072065530019,742.813,2.48550582921255
AIM,SSP3-7.0-SPA0,2010,ASIA,Final Energy,EJ/yr,103.58109999999999,SSP3,18707.600999999995,0.005536845691759195,THA,1.1633394246319533,2200,1.16775400367606,0.0064656737242883445,530.367,3.429179976129636
AIM,SSP3-7.0-SPA0,2010,ASIA,Final Energy,EJ/yr,103.58109999999999,SSP3,18707.600999999995,0.005536845691759195,VNM,1.5051102200672148,2200,1.518761847636599,0.008409149992894938,249.923,2.1016399936742816
AIM,SSP3-7.0-SPA0,2020,ASIA,Final Energy,EJ/yr,141.8117,SSP3,36792.07499999999,0.003854408863865385,BGD,0.7379632487427699,2200,0.7450453231010734,0.0028717092973422273,429.037,1.232069541803817
AIM,SSP3-7.0-SPA0,2020,ASIA,Final Energy,EJ/yr,141.8117,SSP3,36792.07499999999,0.003854408863865385,BRN,0.4954927954965832,2200,0.5091281253480269,0.001962387959184602,24.403,0.047888153367981835
AIM,SSP3-7.0-SPA0,2020,ASIA,Final Energy,EJ/yr,141.8117,SSP3,36792.07499999999,0.003854408863865385,KHM,1.2751386451062041,2200,1.2677024655087392,0.004886243619800887,55.373,0.2705659679592345
AIM,SSP3-7.0-SPA0,2020,ASIA,Final Energy,EJ/yr,141.8117,SSP3,36792.07499999999,0.003854408863865385,CHN,1.1018688761544373,2200,1.0991156632853984,0.004236441154980522,20318.299,86.07727808279958
AIM,SSP3-7.0-SPA0,2020,ASIA,Final Energy,EJ/yr,141.8117,SSP3,36792.07499999999,0.003854408863865385,HKG,0.2023859069799922,2200,0.2239430446291816,0.0008631680562197191,413.258,0.35671110457724864
AIM,SSP3-7.0-SPA0,2020,ASIA,Final Energy,EJ/yr,141.8117,SSP3,36792.07499999999,0.003854408863865385,IND,0.8821147895071896,2200,0.8853008762772655,0.003412311544710885,7025.448,23.973017317165997
AIM,SSP3-7.0-SPA0,2020,ASIA,Final Energy,EJ/yr,141.8117,SSP3,36792.07499999999,0.003854408863865385,IDN,1.0081298189302619,2200,1.0079100940943089,0.0038848976006564985,1757.144,6.8263245096079626
AIM,SSP3-7.0-SPA0,2020,ASIA,Final Energy,EJ/yr,141.8117,SSP3,36792.07499999999,0.003854408863865385,KOR,0.8742393472985501,2200,0.8776382838580488,0.0033827767805700683,1891.67,6.3990973525009816
