country,quintile,pop_quint,outmig_quint,inmig_quint,pop,gdp,gini,gdpshare_quint,ypc_quint,ypc_rel,fundregion,regionname
IRL,q1,0.2,0.10817635793908392,0.22830323740554698,4554.321,158.69425169856387,0.31613169,0.07817203243972781,13619.43107631024,0.39086016219863906,WEU,Western Europe
IRN,q1,0.2,0.11698489312993268,0.15504050201333303,73762.519,,0.45685,0.04442053655497566,,,MDE,Middle East
IRQ,q1,0.2,0.09261358553392347,0.10580856933619244,29741.976,102.33683473956987,0.369,0.06414296486061066,1103.522508835047,0.3207148243030533,MDE,Middle East
ISL,q1,0.2,0.13418306531712693,0.20259215425760294,320.328,10.424296846141504,0.2703,0.09171518332854732,14923.239559374544,0.45857591664273667,WEU,Western Europe
ISR,q1,0.2,0.10309731827810294,0.1768366995751876,7346.446,198.39693578787308,0.36961308,0.06399003297765758,8640.522549088506,0.3199501648882879,MDE,Middle East
ITA,q1,0.2,0.1328404685046902,0.3071380936885301,59325.229,1618.1343332536792,0.31506916,0.0784712807896381,10701.776947216105,0.39235640394819044,WEU,Western Europe
JAM,q1,0.2,0.1240101821359473,0.21292603509502822,2810.46,18.598366288097807,0.60707535,0.020191000910176612,668.0750315798497,0.10095500455088306,SIS,Small Island States
JOR,q1,0.2,0.09507392369597042,0.12135956944729297,7261.539,31.185202046176876,0.3966,0.05747491437376408,1234.1507890631367,0.28737457186882037,MDE,Middle East
JPN,q1,0.2,0.1622781982080138,0.3751766869580646,128542.353,3896.5514045376885,0.3211,0.0767819276226352,11637.593405540441,0.38390963811317597,JPK,Japan & South Korea
KAZ,q1,0.2,0.10919176143093363,0.19494366565276203,16252.279,178.17950208704036,0.2742,0.09051159998625705,4961.553951495865,0.45255799993128526,FSU,Former Soviet Union
KEN,q1,0.2,0.09009028265168478,0.0962439692194132,42030.676,60.00720525074013,0.5451,0.02882025674147252,205.73343403572292,0.1441012837073626,SSA,Sub-Saharan Africa
KGZ,q1,0.2,0.09350328524589775,0.1667861926940218,5422.293,10.941166058415098,0.2777,0.0894396371410941,902.3617150208419,0.4471981857054705,FSU,Former Soviet Union
KHM,q1,0.2,0.12770938890530711,0.1110363823628028,14312.212,27.82594768872584,0.377,0.0621646668740429,604.3058782682181,0.31082333437021453,SEA,Southeast Asia
KOR,q1,0.20000000000000004,0.11775477043464203,0.3156923811630845,49545.636,1320.9341413851619,0.3865,0.059863849585534604,7980.1380238895945,0.299319247927673,JPK,Japan & South Korea
KWT,q1,0.2,0.13585479170822093,0.21318239869688785,2991.884,,0.414804506,0.05331630015438531,,,MDE,Middle East
LAO,q1,0.2,0.11811185696675,0.11092019252907878,6249.165,14.310417684512124,0.4364,0.0486251150324173,556.750946783563,0.2431255751620865,SEA,Southeast Asia
LBN,q1,0.2,0.11532430287274477,0.18327788646528587,4953.061,53.34693262610232,0.43,0.0499882704805983,2691.9927873125903,0.24994135240299148,MDE,Middle East
LBR,q1,0.2,0.14150192504762887,0.07632578027227885,3891.356,1.5004018519160238,0.4248,0.05111260154129441,98.53819852103477,0.2555630077064721,SSA,Sub-Saharan Africa
LBY,q1,0.2,0.1231100509702129,0.10907438169577263,6197.663,,0.414804506,0.05331630015438531,,,MAF,North Africa
LCA,q1,0.2,0.13230904418644507,0.23297191306511522,174.085,1.6916206815068073,0.4258,0.050895212772867696,2472.797613702284,0.25447606386433846,SIS,Small Island States
LKA,q1,0.2,0.11789574583244589,0.15254887120437963,20261.737,95.01787973544018,0.437866667,0.048315919538267534,1132.8930565020928,0.2415795976913377,SAS,South Asia
LSO,q1,0.2,0.10188495784227052,0.12516854012861364,1995.581,3.005551603272059,0.6018,0.020854808227151883,157.04750221376045,0.1042740411357594,SSA,Sub-Saharan Africa
LTU,q1,0.2,0.14976332114786492,0.4320078635773918,3123.816,51.10761322672455,0.35764088,0.06701648299069737,5482.161069192178,0.33508241495348684,FSU,Former Soviet Union
LUX,q1,0.2,0.1386741812515606,0.20157829959282697,507.889,34.85205788155859,0.28509956,0.08719870540403697,29918.489354351765,0.43599352702018485,WEU,Western Europe
LVA,q1,0.2,0.16825396459611966,0.4205558246235723,2118.861,29.018886899605953,0.3603,0.06633698257109139,4542.594805632913,0.3316849128554569,FSU,Former Soviet Union
MAC,q1,0.20000000000000004,0.16528615022054413,0.3150384283916561,538.219,31.074797594640224,0.441388871,0.047578233791130395,13734.966481765314,0.237891168955652,CHI,China plus
MAR,q1,0.2,0.1311895168625401,0.09048679996705424,32343.389,137.29319861913058,0.4672,0.04237926937433224,899.4705915857851,0.21189634687166123,MAF,North Africa
MDA,q1,0.2,0.1556784069212605,0.3899046799723505,4086.081,9.936478992790411,0.3063,0.08096745620891822,984.4780704538083,0.4048372810445911,FSU,Former Soviet Union
MDG,q1,0.2,0.10896807737253067,0.09755895323477781,21151.64,17.99875107244465,0.4663,0.04255447910505298,181.05628604434358,0.2127723955252649,SSA,Sub-Saharan Africa
MDV,q1,0.2,0.11861875234038856,0.1653528292058537,365.734,2.4148692646945826,0.4278,0.05046210957762291,1665.9566440452854,0.2523105478881146,SIS,Small Island States
MEX,q1,0.2,0.10187919608395443,0.1585591630111818,114092.963,1411.0937527544643,0.54873459,0.02826299306306379,1747.7735653789653,0.14131496531531892,CAM,Central America
MKD,q1,0.2,0.15720369828477856,0.26603897856733905,2070.741,18.953813317847356,0.4405,0.047763752800885226,2185.945161533449,0.23881876400442612,EEU,Central & Eastern Europe
MLI,q1,0.2,0.16504171253736483,0.06132927689686775,15049.353,14.677897111037344,0.3904,0.05893442979469006,287.3988990836066,0.2946721489734503,SSA,Sub-Saharan Africa
MLT,q1,0.2,0.15128966728230536,0.21190403669583724,414.253,9.477672411719086,0.27524786,0.09018985639296859,10317.244700129444,0.4509492819648429,WEU,Western Europe
MMR,q1,0.2,0.121883112399747,0.13126176612778662,50600.818,83.90582295634557,0.441,0.04765934273483569,395.14147515608533,0.2382967136741785,SEA,Southeast Asia
MNE,q1,0.2,0.13730077551340444,0.2801266951697972,624.275,6.41996194841101,0.3063,0.08096745620891822,4163.29332362252,0.4048372810445911,EEU,Central & Eastern Europe
MNG,q1,0.2,0.10738333566766883,0.16715849210793557,2719.896,9.977397597265247,0.3988,0.05696232204824304,1044.7747545104469,0.2848116102412152,CHI,China plus
MOZ,q1,0.2,0.14615047496881076,0.06936332712813807,23531.574,19.76565994514302,0.5158,0.03355375720630726,140.9196330899415,0.1677687860315363,SSA,Sub-Saharan Africa
MRT,q1,0.2,0.14664503623885639,0.07315303814224694,3494.195,6.033414762325536,0.4348,0.048963775593572297,422.72793373789074,0.24481887796786148,SSA,Sub-Saharan Africa
MUS,q1,0.2,0.13360231553947563,0.22418745620953776,1247.955,15.738374807760245,0.418083333,0.05258723566340551,3315.9754357115935,0.26293617831702754,SIS,Small Island States
MWI,q1,0.2,0.10896046572267284,0.09062545146389514,14539.612,11.791209492076325,0.5212,0.03264879385530093,132.38619022690136,0.16324396927650467,SSA,Sub-Saharan Africa
MYS,q1,0.2,0.11604366522737161,0.17647558058419083,28208.035,375.28812665633484,0.5226,0.032416596246357135,2156.4004153196324,0.1620829812317857,SEA,Southeast Asia
NAM,q1,0.2,0.09961831511311803,0.11683176670936458,2118.874,13.259206323635928,0.6697,0.013264740238524001,415.0315867107374,0.06632370119262002,SSA,Sub-Saharan Africa
NER,q1,0.2,0.15634677292304813,0.06254927152897101,16464.025,10.129710316346669,0.3745,0.06277886753498675,193.12766535452786,0.31389433767493374,SSA,Sub-Saharan Africa
NGA,q1,0.2,0.12334055215596167,0.07941410522115841,158503.197,338.3065897384573,0.4897,0.03813938845942618,407.0203847187621,0.1906969422971309,SSA,Sub-Saharan Africa
NIC,q1,0.2,0.121999387876732,0.1228015907395282,5824.065,15.128172852787909,0.4573,0.044330581882880665,575.749674315866,0.22165290941440333,CAM,Central America
NLD,q1,0.2,0.1313711925667661,0.2653496985877286,16682.917,614.724900948884,0.26849291,0.09227613423941954,17000.755167778243,0.4613806711970978,WEU,Western Europe
NOR,q1,0.2,0.14566949736074813,0.3533865978639026,4885.878,228.31191505078243,0.2554,0.09640238891668271,22523.908731489155,0.48201194458341357,WEU,Western Europe
NPL,q1,0.2,0.11384689061553666,0.09483853683919474,27013.212,32.21794348738442,0.3875,0.05962469994137452,355.5640131139269,0.29812349970687263,SAS,South Asia
NZL,q1,0.2,0.13208231447877516,0.27686755926799117,4370.062,,0.32766598,0.07496787605444284,,,ANZ,Australia & New Zealand
OMN,q1,0.2,0.1366373877933031,0.15505784026393563,3041.434,,0.414804506,0.05331630015438531,,,MDE,Middle East
PAK,q1,0.2,0.14473208546488717,0.07753431270164375,179424.641,418.50810929459686,0.3559,0.06746360725881029,786.7945718804011,0.33731803629405144,SAS,South Asia
PAN,q1,0.2,0.10289727069681935,0.16048212086752575,3642.687,42.93011386179749,0.53756649,0.029996170075154552,1767.567453289601,0.14998085037577277,CAM,Central America
PER,q1,0.2,0.10551199109015971,0.1694074237123139,29027.674,248.75934295434868,0.47856544,0.04020397401975286,1722.6861100388937,0.2010198700987643,LAM,South America
PHL,q1,0.2,0.0935730739330271,0.15689948352885102,93966.78,332.0546077828365,0.43864613,0.04815208043066441,850.7857873459038,0.240760402153322,SEA,Southeast Asia
PNG,q1,0.2,0.10484523588363875,0.11074155555914236,7310.507,15.207027572085849,0.4988,0.03650043298666044,379.63378656310516,0.1825021649333022,SEA,Southeast Asia
