model,scenario,period,region,type,unit,en_5r,scen,gdp_5r,engdp_ratio_5r,country,rel_ratio_2015,convyear,rel_ratio,engdp_ratio,gdp_mig,en_mig,ypc_mig,ypc_nomig,enpc_mig,enpc_nomig,en_nomig,endiff,code
REMIND-MAGPIE,SSP5-8.5,2030,MAF,Final Energy,EJ/yr,86.82,SSP5,14539.094000000008,0.0059714862562962965,SYR,0.3664477372984778,2125,0.4528412276668672,0.00270413516729704,318.495,0.8612535301082707,16039.79220487596,16039.792204875961,43.373766177342006,43.373766177342006,0.9690438157901771,-0.1112336552026929,760
REMIND-MAGPIE,SSP5-8.5,2040,MAF,Final Energy,EJ/yr,115.99,SSP5,26290.231,0.0044119049391388,SYR,0.3664477372984778,2125,0.5104368879124601,0.0022519990268996207,612.719,1.379842591762909,31076.037021554508,31076.03702155451,69.98320513243736,69.98320513243736,1.709339346458427,-0.1927626339253239,760
REMIND-MAGPIE,SSP5-8.5,2050,MAF,Final Energy,EJ/yr,150.18,SSP5,43493.55499999999,0.003452925381703106,SYR,0.3664477372984778,2125,0.568032548158053,0.0019613740031684335,1028.702,2.017669359807374,54300.497469626,54300.49746962601,106.50358409603774,106.50358409603774,2.7589815141450065,-0.2686905115300714,760
REMIND-MAGPIE,SSP5-8.5,2060,MAF,Final Energy,EJ/yr,181.26,SSP5,67253.99399999999,0.0026951559189183623,SYR,0.3664477372984778,2125,0.625628208403646,0.0016861655689213771,1526.621,2.5741357669923217,86799.8545946301,86799.8545946301,146.35892620484725,146.35892620484725,3.912651983862972,-0.342099481985906,760
REMIND-MAGPIE,SSP5-8.5,2070,MAF,Final Energy,EJ/yr,213.45,SSP5,98340.56499999999,0.002170518341032513,SYR,0.3664477372984778,2125,0.6832238686492389,0.0014829499379343618,2050.221,3.040375104701725,127897.1507511883,127897.15075118827,189.6650717684564,189.66507176845636,5.153883188135004,-0.41008071123902945,760
REMIND-MAGPIE,SSP5-8.5,2080,MAF,Final Energy,EJ/yr,243.12,SSP5,135544.665,0.0017936522990410577,SYR,0.3664477372984778,2125,0.7408195288948318,0.0013287726511767284,2595.93,3.4494007883692044,180849.6014826189,180849.6014826189,240.3080044263143,240.3080044263143,6.527379301653123,-0.47154889750384055,760
REMIND-MAGPIE,SSP5-8.5,2090,MAF,Final Energy,EJ/yr,260.57,SSP5,178216.95799999998,0.0014620943086684265,SYR,0.3664477372984778,2125,0.7984151891404248,0.0011673583039966402,3146.569,3.673173451248404,247685.957267846,247685.95726784598,289.138258999977,289.138258999977,7.704721072750276,-0.5232567906657224,760
REMIND-MAGPIE,SSP5-8.5,2100,MAF,Final Energy,EJ/yr,277.90999999999997,SSP5,224391.86499999996,0.0012385030090105986,SYR,0.3664477372984778,2125,0.8560108493860177,0.0010601720127103012,3641.28,3.860383146441766,329110.7300373852,329110.7300373852,348.91398506829125,348.91398506829125,8.948238340760485,-0.5685873577084801,760
REMIND-MAGPIE,SSP5-8.5,2010,MAF,Final Energy,EJ/yr,44.52,SSP5,5128.382,0.008681100588840692,TGO,2.0707549920726485,2125,2.119425673530496,0.01839894746248967,5.414,0.09961190156191907,,,,0.0,,,768
REMIND-MAGPIE,SSP5-8.5,2020,MAF,Final Energy,EJ/yr,69.23,SSP5,8193.557,0.008449321826893985,TGO,2.0707549920726485,2125,2.022084310614801,0.017085241101497513,9.095,0.15539026781811988,1113.833199685069,1055.9266379562375,19.03010876347183,18.70628493619616,0.15297053390694376,0.015818300749660175,768
REMIND-MAGPIE,SSP5-8.5,2030,MAF,Final Energy,EJ/yr,86.82,SSP5,14539.094000000008,0.0059714862562962965,TGO,2.0707549920726485,2125,1.9247429476991056,0.01149357605908843,19.823,0.22783715821930997,2169.2072975477736,2105.773780476365,24.931949062295004,24.577217514395265,0.22615904819534158,0.007420043714187141,768
REMIND-MAGPIE,SSP5-8.5,2040,MAF,Final Energy,EJ/yr,115.99,SSP5,26290.231,0.0044119049391388,TGO,2.0707549920726485,2125,1.8274015847834102,0.008062322077695997,48.205,0.3886442357553355,4913.536951466519,4861.169884953116,39.6145174433836,39.33434591446318,0.39093292049899964,-0.0058544180437472,768
REMIND-MAGPIE,SSP5-8.5,2050,MAF,Final Energy,EJ/yr,150.18,SSP5,43493.55499999999,0.003452925381703106,TGO,2.0707549920726485,2125,1.7300602218677148,0.005973768851961939,107.772,0.6438050167136422,10517.881054096244,10631.477072881555,62.831390229600764,63.14454498442014,0.6594765735652077,-0.02376362933840581,768
REMIND-MAGPIE,SSP5-8.5,2060,MAF,Final Energy,EJ/yr,181.26,SSP5,67253.99399999999,0.0026951559189183623,TGO,2.0707549920726485,2125,1.6327188589520194,0.0044004318966341695,212.957,0.9371027754115228,20585.568822601403,21316.910786119668,90.58539365733311,92.01674049777617,0.9764053472784948,-0.040252311170272614,768
REMIND-MAGPIE,SSP5-8.5,2070,MAF,Final Energy,EJ/yr,213.45,SSP5,98340.56499999999,0.002170518341032513,TGO,2.0707549920726485,2125,1.5353774960363242,0.0033325650155554163,371.579,1.238311175915066,36568.13914146738,38798.06870433732,121.86570118681685,124.92283083977712,1.3098361283226156,-0.05460603113699802,768
REMIND-MAGPIE,SSP5-8.5,2080,MAF,Final Energy,EJ/yr,243.12,SSP5,135544.665,0.0017936522990410577,TGO,2.0707549920726485,2125,1.438036133120629,0.002579336816275929,581.344,1.4994819821211138,59362.35712374613,64875.3078737898,153.11551323019808,157.32072154029981,1.5979397892713723,-0.061615467498405074,768
REMIND-MAGPIE,SSP5-8.5,2090,MAF,Final Energy,EJ/yr,260.57,SSP5,178216.95799999998,0.0014620943086684265,TGO,2.0707549920726485,2125,1.3406947702049337,0.0019602221931781572,832.637,1.6321535262612812,90054.71521395186,101471.05159913731,176.52725136272707,183.40857127607902,1.7657387925992403,-0.07565403608838206,768
REMIND-MAGPIE,SSP5-8.5,2100,MAF,Final Energy,EJ/yr,277.90999999999997,SSP5,224391.86499999996,0.0012385030090105986,TGO,2.0707549920726485,2125,1.2433534072892383,0.001539896936191302,1112.126,1.712559420058688,130446.14753705479,150593.12475686456,200.87362293026922,213.0174307911194,1.8944285453716307,-0.09600210351415783,768
