region,quint,age,ageall,agemig_reg,index
USA,3,50,50,0.04358019234913182,1
USA,3,50,51,0.02744408614405969,1
USA,3,50,52,0.01588199429633084,1
USA,3,50,53,0.00813158107972139,1
USA,3,50,54,0.0034305107680074613,1
USA,3,55,55,0.02433111469435496,1
USA,3,55,56,0.015322217999943651,1
USA,3,55,57,0.008867024305522945,1
USA,3,55,58,0.004539916444427748,1
USA,3,55,59,0.0019152772499929564,1
USA,3,60,60,0.013590494080765755,1
USA,3,60,61,0.008558445252027414,1
USA,3,60,62,0.004952803965293642,1
USA,3,60,63,0.0025358356302303446,1
USA,3,60,64,0.0010698056565034268,1
USA,3,65,65,0.007650122408175026,1
USA,3,65,66,0.0048175697964017656,1
USA,3,65,67,0.0027879454840287997,1
USA,3,65,68,0.0014274280878227455,1
USA,3,65,69,0.0006021962245502207,1
USA,3,70,70,0.00998828600834825,1
USA,3,70,71,0.006289999352195982,1
USA,3,70,72,0.003640045921409712,1
USA,3,70,73,0.0018637035117617725,1
USA,3,70,74,0.0007862499190244977,1
USA,3,75,75,0.0,1
USA,3,75,76,0.0,1
USA,3,75,77,0.0,1
USA,3,75,78,0.0,1
USA,3,75,79,0.0,1
USA,3,80,80,0.0,1
USA,3,80,81,0.0,1
USA,3,80,82,0.0,1
USA,3,80,83,0.0,1
USA,3,80,84,0.0,1
USA,3,85,85,0.0,1
USA,3,85,86,0.0,1
USA,3,85,87,0.0,1
USA,3,85,88,0.0,1
USA,3,85,89,0.0,1
USA,3,90,90,0.0,1
USA,3,90,91,0.0,1
USA,3,90,92,0.0,1
USA,3,90,93,0.0,1
USA,3,90,94,0.0,1
USA,3,95,95,0.0,1
USA,3,95,96,0.0,1
USA,3,95,97,0.0,1
USA,3,95,98,0.0,1
USA,3,95,99,0.0,1
USA,3,100,100,0.0,1
USA,3,100,101,0.0,1
USA,3,100,102,0.0,1
USA,3,100,103,0.0,1
USA,3,100,104,0.0,1
USA,3,105,105,0.0,1
USA,3,105,106,0.0,1
USA,3,105,107,0.0,1
USA,3,105,108,0.0,1
USA,3,105,109,0.0,1
USA,3,110,110,0.0,1
USA,3,110,111,0.0,1
USA,3,110,112,0.0,1
USA,3,110,113,0.0,1
USA,3,110,114,0.0,1
USA,3,115,115,0.0,1
USA,3,115,116,0.0,1
USA,3,115,117,0.0,1
USA,3,115,118,0.0,1
USA,3,115,119,0.0,1
USA,3,120,120,0.0,1
USA,4,0,0,0.10482583676185059,1
USA,4,0,1,0.10482583676185059,1
USA,4,0,2,0.06407447234831944,1
USA,4,0,3,0.032806129842339556,1
USA,4,0,4,0.013840086027236999,1
USA,4,5,5,0.23098975502836705,1
USA,4,5,6,0.14546293611115824,1
USA,4,5,7,0.0841799398791425,1
USA,4,5,8,0.04310012921812097,1
USA,4,5,9,0.01818286701389478,1
USA,4,10,10,0.008716214065222758,1
USA,4,10,11,0.005488927807837071,1
USA,4,10,12,0.0031764628517575643,1
USA,4,10,13,0.001626348980099873,1
USA,4,10,14,0.000686115975979634,1
USA,4,15,15,0.4245412501787086,1
USA,4,15,16,0.2673495919492742,1
USA,4,15,17,0.15471619904471887,1
USA,4,15,18,0.07921469391089606,1
USA,4,15,19,0.03341869899365928,1
USA,4,20,20,0.7077210338081054,1
USA,4,20,21,0.44567855190248046,1
USA,4,20,22,0.25791582864726875,1
USA,4,20,23,0.1320529042674016,1
USA,4,20,24,0.05570981898781006,1
USA,4,25,25,0.48611989484609175,1
USA,4,25,26,0.30612798042785955,1
