country,quintile,pop_quint,outmig_quint,inmig_quint,pop,gdp,gdpshare_quint,gini,ypc_quint,ypc_rel,fundregion,regionname
AUS,q3,0.2,0.19588068059489203,0.119771546763951,22154.679,,0.16361575221537966,0.3494,,,ANZ,Australia & New Zealand
AUS,q4,0.2,0.23306136081384352,0.13187142140281843,22154.679,,0.2303758080625754,0.3494,,,ANZ,Australia & New Zealand
AUS,q5,0.19999999999999993,0.28297897958575635,0.13237463501237604,22154.679,,0.4203167753150606,0.3494,,,ANZ,Australia & New Zealand
AUT,q1,0.2,0.15443032255739653,0.36669237496569973,8409.949,296.8320908711133,0.09460322891578246,0.26106634,16695.270234237014,0.4730161445789122,WEU,Western Europe
AUT,q2,0.2,0.12026478021046821,0.19626425635692935,8409.949,296.8320908711133,0.1397282865204882,0.26106634,24658.793675035664,0.6986414326024409,WEU,Western Europe
AUT,q3,0.2,0.23085332649531595,0.11385350738190851,8409.949,296.8320908711133,0.17939788402943738,0.26106634,31659.555256703337,0.8969894201471869,WEU,Western Europe
AUT,q4,0.2,0.20137760950116998,0.14084531979620815,8409.949,296.8320908711133,0.23069567040727884,0.26106634,40712.42180059938,1.1534783520363943,WEU,Western Europe
AUT,q5,0.19999999999999987,0.29307396123564944,0.18234454149925428,8409.949,296.8320908711133,0.35557493012701313,0.26106634,62750.707507828716,1.7778746506350656,WEU,Western Europe
AZE,q1,0.2,0.12102585642849423,0.21168168299760803,9032.461,80.69556138880493,0.12740816327436133,0.1664,5691.291255473512,0.6370408163718067,FSU,Former Soviet Union
AZE,q2,0.2,0.15474511814093056,0.335077713062037,9032.461,80.69556138880493,0.16359564968136375,0.1664,7307.77735536523,0.8179782484068188,FSU,Former Soviet Union
AZE,q3,0.2,0.23559082091536337,0.10519188286312589,9032.461,80.69556138880493,0.19154389647221037,0.1664,8556.218652050726,0.957719482361052,FSU,Former Soviet Union
AZE,q4,0.2,0.23559082091536337,0.10519188286312589,9032.461,80.69556138880493,0.22440830045117877,0.1664,10024.263478810191,1.1220415022558936,FSU,Former Soviet Union
AZE,q5,0.1999999999999999,0.2530473835998484,0.2428568382141032,9032.461,80.69556138880493,0.2930439901208858,0.1664,13090.202822032825,1.465219950604429,FSU,Former Soviet Union
BDI,q1,0.2,0.12128626280962043,0.07506305713756643,8675.602,3.071832434435739,0.05817837400557334,0.3936,102.99816442308746,0.2908918700278667,SSA,Sub-Saharan Africa
BDI,q2,0.2,0.12128626280962043,0.07506305713756643,8675.602,3.071832434435739,0.10487726805886129,0.3936,185.67322109648498,0.5243863402943064,SSA,Sub-Saharan Africa
BDI,q3,0.2,0.12128626280962043,0.07506305713756643,8675.602,3.071832434435739,0.1542371444500688,0.3936,273.05924298767485,0.771185722250344,SSA,Sub-Saharan Africa
BDI,q4,0.2,0.24678392027394105,0.07212145195060457,8675.602,3.071832434435739,0.22768858604726727,0.3936,403.0966286666956,1.1384429302363364,SSA,Sub-Saharan Africa
BDI,q5,0.2,0.38935729129719715,0.7026893766366928,8675.602,3.071832434435739,0.4550186274382293,0.3936,805.5584949823566,2.2750931371911465,SSA,Sub-Saharan Africa
BEL,q1,0.2,0.1463311616029392,0.30707915523501955,10938.739,357.4760039013982,0.0902654415726151,0.27500149,14749.291186019516,0.45132720786307556,WEU,Western Europe
BEL,q2,0.2,0.10462945550469883,0.16890937513373983,10938.739,357.4760039013982,0.13610659609107642,0.27500149,22239.69420755887,0.6805329804553821,WEU,Western Europe
BEL,q3,0.2,0.2043863366691302,0.16378581291175875,10938.739,357.4760039013982,0.17718377769656568,0.27500149,28951.668381118696,0.8859188884828285,WEU,Western Europe
BEL,q4,0.2,0.2546462848013275,0.18580078909104936,10938.739,357.4760039013982,0.23106625073735554,0.27500149,37756.0155471615,1.155331253686778,WEU,Western Europe
